Timestamp(ms),Current(uA)
42114.64,381.234
42114.65,381.682
42114.66,382.577
42114.67,382.577
42114.68,385.264
42114.69,388.399
42114.7,391.087
42114.71,391.087
42114.72,391.536
42114.73,392.880
42114.74,391.536
42114.75,395.121
42114.76,397.810
42114.77,397.810
42114.78,398.258
42114.79,397.362
42114.8,397.362
42114.81,398.258
42114.82,398.707
42114.83,399.155
42114.84,402.294
42114.85,403.191
42114.86,401.397
42114.87,401.397
42114.88,400.052
42114.89,395.569
42114.9,396.914
42114.91,397.362
42114.92,401.397
42114.93,399.155
42114.94,400.052
42114.95,398.707
42114.96,395.569
42114.97,392.880
42114.98,390.639
42114.99,391.536
42115,388.847
42115.01,388.399
42115.02,384.816
42115.03,385.264
42115.04,385.264
42115.05,384.816
42115.06,384.816
42115.07,386.160
42115.08,386.160
42115.09,384.368
42115.1,385.264
42115.11,383.920
42115.12,384.816
42115.13,387.056
42115.14,383.473
42115.15,382.577
42115.16,384.368
42115.17,383.920
42115.18,385.264
42115.19,386.160
42115.2,383.025
42115.21,381.682
42115.22,382.129
42115.23,379.443
42115.24,380.786
42115.25,380.338
42115.26,383.025
42115.27,385.712
42115.28,387.951
42115.29,388.399
42115.3,387.951
42115.31,388.399
42115.32,387.056
42115.33,384.368
42115.34,381.682
42115.35,383.025
42115.36,384.816
42115.37,383.473
42115.38,385.264
42115.39,383.920
42115.4,383.473
42115.41,380.786
42115.42,382.577
42115.43,383.025
42115.44,387.056
42115.45,383.473
42115.46,382.577
42115.47,383.920
42115.48,384.368
42115.49,383.473
42115.5,379.443
42115.51,377.652
42115.52,378.100
42115.53,377.205
42115.54,376.757
42115.55,373.625
42115.56,371.835
42115.57,370.940
42115.58,369.598
42115.59,370.045
42115.6,370.493
42115.61,369.150
42115.62,367.361
42115.63,365.125
42115.64,361.101
42115.65,362.442
42115.66,361.548
42115.67,362.442
42115.68,364.231
42115.69,364.231
42115.7,366.020
42115.71,365.572
42115.72,365.572
42115.73,365.125
42115.74,365.572
42115.75,366.467
42115.76,366.020
42115.77,366.467
42115.78,367.361
42115.79,371.835
42115.8,370.493
42115.81,368.703
42115.82,370.940
42115.83,372.730
42115.84,369.598
42115.85,372.730
42115.86,373.625
42115.87,373.625
42115.88,377.652
42115.89,378.995
42115.9,379.443
42115.91,378.995
42115.92,379.891
42115.93,378.100
42115.94,378.548
42115.95,380.338
42115.96,378.100
42115.97,380.338
42115.98,383.473
42115.99,384.368
42116,384.816
42116.01,384.368
42116.02,384.368
42116.03,382.577
42116.04,383.025
42116.05,384.816
42116.06,384.816
42116.07,384.816
42116.08,387.056
42116.09,386.608
42116.1,388.847
42116.11,389.295
42116.12,389.743
42116.13,391.087
42116.14,391.984
42116.15,394.224
42116.16,393.776
42116.17,390.191
42116.18,387.504
42116.19,391.984
42116.2,392.880
42116.21,392.432
42116.22,390.191
42116.23,389.743
42116.24,388.399
42116.25,387.056
42116.26,383.920
42116.27,379.443
42116.28,377.652
42116.29,379.443
42116.3,376.310
42116.31,376.757
42116.32,373.625
42116.33,372.730
42116.34,369.598
42116.35,367.361
42116.36,365.572
42116.37,365.125
42116.38,366.020
42116.39,370.493
42116.4,371.387
42116.41,370.045
42116.42,367.361
42116.43,367.361
42116.44,366.467
42116.45,363.784
42116.46,363.336
42116.47,364.678
42116.48,366.020
42116.49,367.809
42116.5,369.598
42116.51,371.387
42116.52,371.835
42116.53,374.072
42116.54,378.100
42116.55,379.443
42116.56,381.682
42116.57,383.025
