Timestamp(ms),Current(uA)
38352.59,382.129
38352.6,382.129
38352.61,382.129
38352.62,381.234
38352.63,383.920
38352.64,383.920
38352.65,388.399
38352.66,393.776
38352.67,394.672
38352.68,393.328
38352.69,390.191
38352.7,391.536
38352.71,390.191
38352.72,389.743
38352.73,390.191
38352.74,392.432
38352.75,396.017
38352.76,396.017
38352.77,399.155
38352.78,402.742
38352.79,400.948
38352.8,400.948
38352.81,402.742
38352.82,405.882
38352.83,409.022
38352.84,411.265
38352.85,412.612
38352.86,408.125
38352.87,409.470
38352.88,409.919
38352.89,411.265
38352.9,409.470
38352.91,409.470
38352.92,404.984
38352.93,403.639
38352.94,400.948
38352.95,399.155
38352.96,398.707
38352.97,397.362
38352.98,396.465
38352.99,395.121
38353,393.328
38353.01,393.328
38353.02,391.087
38353.03,390.639
38353.04,391.536
38353.05,390.639
38353.06,387.951
38353.07,387.504
38353.08,388.399
38353.09,386.160
38353.1,380.338
38353.11,378.100
38353.12,377.652
38353.13,376.310
38353.14,374.967
38353.15,371.387
38353.16,369.150
38353.17,370.493
38353.18,368.703
38353.19,365.125
38353.2,366.467
38353.21,367.361
38353.22,373.177
38353.23,372.730
38353.24,371.387
38353.25,370.493
38353.26,372.282
38353.27,373.625
38353.28,373.177
38353.29,374.072
38353.3,374.520
38353.31,371.387
38353.32,370.493
38353.33,368.256
38353.34,365.572
38353.35,366.467
38353.36,370.045
38353.37,373.177
38353.38,372.282
38353.39,374.520
38353.4,374.072
38353.41,373.625
38353.42,374.072
38353.43,374.072
38353.44,373.177
38353.45,371.835
38353.46,373.625
38353.47,375.415
38353.48,375.862
38353.49,372.282
38353.5,370.493
38353.51,371.835
38353.52,372.282
38353.53,374.520
38353.54,377.205
38353.55,379.443
38353.56,379.891
38353.57,378.548
38353.58,378.100
38353.59,378.100
38353.6,377.652
38353.61,378.100
38353.62,378.995
38353.63,378.100
38353.64,377.205
38353.65,377.205
38353.66,376.757
38353.67,378.548
38353.68,377.205
38353.69,375.862
38353.7,379.443
38353.71,382.129
38353.72,381.234
38353.73,380.786
38353.74,378.995
38353.75,374.967
38353.76,374.072
38353.77,375.415
38353.78,374.967
38353.79,373.177
38353.8,371.835
38353.81,374.967
38353.82,373.177
38353.83,375.415
38353.84,374.520
38353.85,374.072
38353.86,373.177
38353.87,371.835
38353.88,369.598
38353.89,369.150
38353.9,370.045
38353.91,372.730
38353.92,374.520
38353.93,375.862
38353.94,378.548
38353.95,379.443
38353.96,379.443
38353.97,376.757
38353.98,378.548
38353.99,376.310
38354,378.100
38354.01,380.338
38354.02,380.786
38354.03,383.473
38354.04,386.608
38354.05,388.847
38354.06,389.743
38354.07,389.295
38354.08,387.951
38354.09,387.056
38354.1,387.504
38354.11,387.056
38354.12,387.056
38354.13,387.504
38354.14,390.639
38354.15,393.328
38354.16,392.880
38354.17,387.504
38354.18,383.025
38354.19,381.682
38354.2,383.920
38354.21,386.160
38354.22,385.712
38354.23,386.160
38354.24,383.025
38354.25,379.443
38354.26,377.205
38354.27,376.310
38354.28,371.387
38354.29,372.282
38354.3,368.703
38354.31,370.493
38354.32,370.940
38354.33,369.598
38354.34,369.150
38354.35,368.703
38354.36,370.940
38354.37,368.703
38354.38,368.703
38354.39,368.703
38354.4,367.361
38354.41,367.809
38354.42,370.493
38354.43,371.387
38354.44,372.282
38354.45,372.282
38354.46,371.835
38354.47,368.703
38354.48,370.940
38354.49,368.703
38354.5,368.256
38354.51,367.361
38354.52,366.467
38354.53,369.150
38354.54,372.282
38354.55,375.415
38354.56,374.072
38354.57,374.520
38354.58,372.730
38354.59,370.940
38354.6,370.940
38354.61,373.625
38354.62,372.282
38354.63,373.625
38354.64,375.862
38354.65,379.443
38354.66,379.891
38354.67,379.891
38354.68,379.891
38354.69,379.443
38354.7,382.577
38354.71,383.473
38354.72,384.368
38354.73,383.025
38354.74,384.368
38354.75,384.368
38354.76,384.368
38354.77,382.129
38354.78,382.577
38354.79,382.577
38354.8,383.473
38354.81,382.577
38354.82,383.025
38354.83,384.368
38354.84,386.608
38354.85,385.264
38354.86,385.264
38354.87,385.712
38354.88,384.368
38354.89,384.816
38354.9,384.816
38354.91,387.056
38354.92,388.847
38354.93,390.639
38354.94,391.087
38354.95,390.639
38354.96,392.432
38354.97,391.087
38354.98,390.639
38354.99,389.743
38355,394.224
38355.01,392.432
38355.02,391.536
38355.03,391.984
38355.04,392.432
38355.05,393.328
38355.06,389.743
38355.07,387.056
38355.08,386.608
38355.09,390.191
38355.1,393.328
38355.11,393.776
38355.12,393.328
38355.13,392.432
38355.14,390.191
38355.15,386.608
38355.16,382.577
38355.17,380.786
38355.18,381.682
38355.19,382.577
38355.2,382.129
38355.21,378.100
38355.22,377.205
38355.23,376.310
38355.24,376.310
38355.25,378.100
38355.26,375.862
38355.27,376.310
38355.28,373.625
38355.29,370.045
38355.3,367.809
38355.31,367.809
38355.32,368.256
38355.33,366.914
38355.34,363.784
38355.35,363.336
38355.36,365.125
38355.37,364.678
38355.38,363.336
38355.39,366.020
38355.4,366.020
38355.41,361.995
38355.42,360.654
38355.43,361.548
38355.44,364.231
38355.45,362.889
38355.46,361.548
38355.47,362.889
38355.48,362.442
38355.49,357.972
38355.5,357.972
38355.51,362.889
38355.52,365.125
38355.53,366.914
38355.54,368.703
38355.55,368.703
38355.56,369.598
38355.57,370.493
38355.58,371.835
38355.59,372.730
38355.6,370.940
38355.61,370.493
38355.62,372.282
38355.63,374.072
38355.64,379.891
38355.65,384.368
38355.66,388.399
38355.67,391.087
38355.68,396.017
38355.69,397.362
38355.7,397.362
38355.71,399.155
38355.72,398.707
38355.73,396.465
38355.74,396.017
38355.75,396.017
38355.76,397.362
38355.77,399.603
38355.78,400.052
38355.79,398.258
38355.8,396.017
38355.81,395.121
38355.82,394.672
38355.83,399.603
38355.84,402.742
38355.85,402.742
38355.86,407.227
38355.87,404.536
38355.88,406.330
